id,sourceTableFile,sourceRowNumberApprox,sectionCode,sectionTitle,itemCode,workElementDescription,unit,manHoursPerUnit
01-51-13.80-trailer-mounted-floodlight-set-4-light-telescoping-each,fileoutpart20.xlsx,2,01 51 13.80,,,"Trailer Mounted Floodlight Set, 4 Light, Telescoping",Each,5
01-51-13.80-jobsite-portolet-each,fileoutpart20.xlsx,3,01 51 13.80,,,Jobsite Portolet,Each,5
01-54-23.70-0010-scaffolding-0010-erect-and-dismantle-tubular-scaffold-including-planks-and-leveling-square-foot-of-wall-surface,fileoutpart20.xlsx,4,01 54 23.70,,0010,Scaffolding (0010) Erect and dismantle tubular scaffold (including planks and leveling),square foot of wall surface,0.04
01-54-36.00-cese-mobilization-or-demobilization-each,fileoutpart20.xlsx,7,01 54 36.00,,,CESE Mobilization or Demobilization,Each,3
01-54-39.00-tool-kit-inventory-kit,fileoutpart20.xlsx,8,01 54 39.00,,,Tool Kit Inventory,Kit,2
01-58-13.00-project-sign-each,fileoutpart20.xlsx,9,01 58 13.00,,,Project Sign,Each,16
01-55-23.50-0010-roads-gravel-fill-no-surfacing-4-inch-gravel-depth-sy,fileoutpart22.xlsx,4,01 55 23.50,Roads and Sidewalks,0010,"Roads, gravel fill, no surfacing, 4-inch gravel depth",SY,0.09
01-55-23.50-0020-8-inch-gravel-depth-sy,fileoutpart22.xlsx,5,01 55 23.50,Roads and Sidewalks,0020,8-inch gravel depth,SY,0.104
01-55-23.50-0030-ramp-3-4-inch-plywood-on-2-by-6-inch-joists-16-inches-on-center-sf,fileoutpart22.xlsx,6,01 55 23.50,Roads and Sidewalks,0030,"Ramp, 3/4-inch plywood on 2- by 6-inch joists, 16 inches on center",SF,0.07
01-55-23.50-0040-2-by-10-inch-joists-16-inches-on-center-sf,fileoutpart22.xlsx,7,01 55 23.50,Roads and Sidewalks,0040,"2- by 10-inch joists, 16 inches on center",SF,0.077
01-56-23.10-0010-fill-and-place-sandbags-each,fileoutpart22.xlsx,10,01 56 23.10,Barricades,0010,Fill and place sandbags,Each,0.028
01-56-23.10-0020-5-feet-high-3-rail-at-2-by-8-inches-fixed-lf,fileoutpart22.xlsx,11,01 56 23.10,Barricades,0020,"5 feet high, 3 rail at 2 by 8 inches, fixed",LF,1.064
01-56-23.10-0030-movable-lf,fileoutpart22.xlsx,12,01 56 23.10,Barricades,0030,Movable,LF,0.709
01-56-23.10-0040-guardrail-wooden-3-feet-1-by-6-inches-on-2-by-4-inch-posts-lf,fileoutpart22.xlsx,13,01 56 23.10,Barricades,0040,"Guardrail, wooden, 3 feet, 1 by 6 inches, on 2- by 4-inch posts",LF,0.106
01-56-26.50-0010-chain-link-11-gauge-5-feet-high-lf,fileoutpart22.xlsx,16,01 56 26.50,Temporary Fencing,0010,"Chain link, 11 gauge, 5 feet high",LF,0.053
01-56-26.50-0020-6-feet-high-lf,fileoutpart22.xlsx,17,01 56 26.50,Temporary Fencing,0020,6 feet high,LF,0.07
01-56-26.50-0030-plywood-painted-2-by-4-inch-frame-4-feet-high-lf,fileoutpart22.xlsx,18,01 56 26.50,Temporary Fencing,0030,"Plywood, painted, 2- by 4-inch frame, 4 feet high",LF,0.237
01-56-26.50-0040-wire-mesh-on-4-by-4-inch-posts-4-feet-high-lf,fileoutpart22.xlsx,19,01 56 26.50,Temporary Fencing,0040,"Wire mesh on 4- by 4-inch posts, 4 feet high",LF,0.213
01-56-29.50-0010-sidewalks-2-by-12-inch-planks-two-uses-sf,fileoutpart22.xlsx,22,01 56 29.50,Temporary Protective Walkways,0010,"Sidewalks, 2- by 12-inch planks, two uses",SF,0.031
01-56-29.50-0020-exterior-plywood-two-uses-1-2-inch-sf,fileoutpart22.xlsx,23,01 56 29.50,Temporary Protective Walkways,0020,"exterior plywood, two uses, 1/2 inch",SF,0.015
