id,division,divisionName,sectionCode,sectionTitle,itemCode,workElementDescription,unitOriginal,unit,manHoursPerUnit,sourcePageNumberApprox,sourceTableFile,reviewNotes,replacesReviewRows
01-51-13.80-0300-trailer-mounted-floodlight-set-4-light-telescoping-ea,01,General Requirements,01 51 13.80,Trailer Mounted Floodlight Set,0300,"Trailer Mounted Floodlight Set, 4 Light, Telescoping",Each,EA,0.5,51,fileoutpart20.xlsx,PDF shows .5 man-hours; extraction had 5.0.,01-51-13.80-trailer-mounted-floodlight-set-4-light-telescoping-each
01-51-13.80-0400-jobsite-portolet-ea,01,General Requirements,01 51 13.80,Jobsite Portolet,0400,Jobsite Portolet,Each,EA,0.5,51,fileoutpart20.xlsx,PDF shows .5 man-hours; extraction had 5.0.,01-51-13.80-jobsite-portolet-each
01-54-23.70-0010-erect-and-dismantle-tubular-scaffold-including-planks-and-leveling-sf-wall-surface,01,General Requirements,01 54 23.70,Scaffolding,0010,"Erect and dismantle tubular scaffold, including planks and leveling",square foot of wall surface,SF_WALL_SURFACE,0.04,51,fileoutpart20.xlsx,,01-54-23.70-0010-scaffolding-0010-erect-and-dismantle-tubular-scaffold-including-planks-and-leveling-square-foot-of-wall-surface
01-54-36.00-0010-cese-mobilization-or-demobilization-ea,01,General Requirements,01 54 36.00,CESE Mobilization or Demobilization,0010,CESE Mobilization or Demobilization,Each,EA,3.0,51,fileoutpart20.xlsx,,01-54-36.00-cese-mobilization-or-demobilization-each
01-54-39.00-0010-tool-kit-inventory-kit,01,General Requirements,01 54 39.00,Tool Kit Inventory,0010,Tool Kit Inventory,Kit,KIT,2.0,51,fileoutpart20.xlsx,,01-54-39.00-tool-kit-inventory-kit
01-58-13.00-0010-project-sign-ea,01,General Requirements,01 58 13.00,Project Sign,0010,Project Sign,Each,EA,16.0,51,fileoutpart20.xlsx,,01-58-13.00-project-sign-each
02-58-13.10-0010-snow-fence-on-steel-posts-10-feet-on-center-4-feet-high-lf,02,Existing Conditions,02 58 13.10,Snow Fencing System,0010,"Snow fence on steel posts 10 feet on center, 4 feet high",LF,LF,0.064,57,fileoutpart34.xlsx,,02-58-13.10-0010-snow-fencing-system-0010-snow-fence-on-steel-posts-10-feet-on-center-4-feet-high-lf
03-11-13.20-0010-exterior-spandrel-plywood-one-use-12-inch-width-sf-contact-surface,03,Concrete,03 11 13.20,"Beams and Girders, Forms in Place",0010,"Exterior spandrel, plywood, one use, 12-inch width",SF of contact surface,SF_CONTACT_SURFACE,0.283,63,fileoutpart48.xlsx,,03-11-13.20-beams-and-girders-forms-in-place-sf-of-contact-surface
03-11-13.20-0020-exterior-spandrel-plywood-one-use-18-inch-width-sf-contact-surface,03,Concrete,03 11 13.20,"Beams and Girders, Forms in Place",0020,"Exterior spandrel, plywood, one use, 18-inch width",SF of contact surface,SF_CONTACT_SURFACE,0.255,63,fileoutpart48.xlsx,,03-11-13.20-beams-and-girders-forms-in-place-sf-of-contact-surface
03-11-13.20-0030-exterior-spandrel-plywood-one-use-24-inch-width-sf-contact-surface,03,Concrete,03 11 13.20,"Beams and Girders, Forms in Place",0030,"Exterior spandrel, plywood, one use, 24-inch width",SF of contact surface,SF_CONTACT_SURFACE,0.241,63,fileoutpart48.xlsx,,03-11-13.20-beams-and-girders-forms-in-place-sf-of-contact-surface
