figure,Figure 5-A-3
figureTitle,Field Engineering Data Production ...................................................................................... 5-A-3
division,01
divisionName,General Requirements
sourcePage,5-A-3
sourcePdfPage,11

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"01 71 23\nField Engineering\nSurvey, conventional, topographical\n(0010) (level area)\n(0020) (hilly area)\n(0030) minimum\n(0040) maximum",SY\nSY\nAcre\nAcre,0.003\n0.012\n10.90\n80.00
"Lot location and lines, for large quantities,\n(0050) minimum\n(0060) average\n(0070) maximum, for small quantities\n(0080) maximum, for small quantities",Acre\nAcre\nAcre\nEach,18.00\n28.80\n48.00\n3.750
"(0090) Property lines, perimeter, cleared land",LF,0.036
(0100) Stake out clearing limits (roads/runways),LF,0.005
Layout baseline with offset hubs at 100-foot intervals\n(0110) (level area)\n(0120) (hilly area),Feet\nFeet,0.005\n0.008
(0130) Set blue top at 25-foot interval,Feet,0.009
(0140) Layout bounds (building),Each,4.50
(0150) Layout and grade pipe/culvert,Each,4.50
Minimum suggested crew size:\nOne chief of party\nOne instrument person\nOne to two rodman/chainman,,
"Notes:\n1. This data provides information needed to compute the time required to survey a parcel or to\nperform the layout for a construction project.\n2. 1 acre = 43,560 SF.",,
