figure,Figure 5-B-1
figureTitle,Site Demolition .................................................................................................................... 5-B-1
division,02
divisionName,Existing Conditions
sourcePage,5-B-1
sourcePdfPage,11

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"02 41 13.17\nDemolish, Remove Pavement and Curb",,
"(0010) Pavement removal, bituminous roads, 4–6",SY,0.1260
"(0020) Concrete to 6 inches thick, hydraulic hammer, mesh reinforced",SY,0.2090
"(0030) Concrete to 6 inches thick, rod reinforced",SY,0.2660
"(0040) Concrete, 7 to 24 inches thick, rod reinforced",CYD,2.2170
"(0050) Curbs, concrete, plain",LF,0.0890
"(0060) Curbs, concrete, reinforced",LF,0.1160
"(0070) Curbs, bituminous",LF,0.0600
02 41 13.33\nMinor Site Demolition,,
"(0010) Guiderail, corrugated steel, remove only",LF,0.320
"(0020) Guiderail, corrugated steel, remove and reset",LF,0.800
"(0030) Median barrier, precast concrete, remove and store",LF,0.150
"(0040) Median barrier, precast concrete, remove and reset",LF,0.164
"(0050) Railroad track removal, ties and track",LF,0.230
(0060) Ballast,CYD,0.128
"(0070) remove and re-install, ties and track, new bolts and spikes",LF,1.277
"(0080) Sidewalk removal, bituminous, 2 1/2 inches thick",SY,0.098
"(0090) concrete, plain, 4 inches thick",SY,0.200
(0100) meshed reinforced,SY,0.213
02 41 13.60,Foot,0.049
"Fencing, Selective Demolish",,
"(0010) Fencing, barbed wire, 3 strand",,
"(0020) Fencing, barbed wire, 5 strand",LF,0.076
"(0030) Chain link, posts and fabric, 8 to 10 feet high, remove only",LF,0.072
"(0040) Chain link, posts and fabric, 8 to 10 feet high, remove and reset",LF,0.456
02 41 16.17\nBuilding Demolition Footings and Foundations\n(0010) Concrete foundations\n(0020) Concrete walls\n(0030) Concrete slabs on grade with no reinforcing\n(0040) Concrete slabs on grade with wire mesh reinforcing\n(0050) Concrete slabs on grade with rebar and mesh reinforcing,CYD\nCYD\nCYD\nCYD\nCYD,5.000\n6.000\n4.000\n4.000\n6.000
"02 41 19.16\nSelective Demolition, Cutout\n(0010) Ceilings, sheetrock\n(0020) Ceilings, suspended acoustic\n(0030) Doors and frames, wood 3 by 7 feet\n(0040) Doors and frames, steel 3 by 7 feet\n(0050) Flooring, ceramic or quarry tile\n(0060) Flooring, resilient tile\n(0070) Flooring, wood floor finish\n(0080) Flooring, wood subfloor\n(0090) Framing, steel\n(0100) Framing, wood\n(0110) Wallboard, gypsum\n(0120) Wallboard, plywood\n(0130) Roofing, corrugated\n(0140) Roofing, buildup five-ply\n(0150) Windows, metal\n(0160) Windows, wood",SF\nSF\nEach\nEach\nSF\nSF\nSF\nSF\nLF of wall\nLF of wall\nSF\nSF\nSF\nSF\nSF\nSF,0.024\n0.024\n0.550\n0.730\n0.050\n0.040\n0.060\n0.030\n0.240\n0.072\n0.030\n0.030\n0.030\n0.030\n0.096\n0.100
