figure,Figure 5-C-7
figureTitle,Forms in Place for Concrete Production .............................................................................. 5-C-5
division,03
divisionName,Concrete
sourcePage,5-C-7
sourcePdfPage,11

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"03 11 13.20\nBeams and Girders, Forms in Place\nExterior spandrel, plywood, one use\n(0010) 12-inch width\n(0020) 18-inch width\n(0030) 24-inch width\nInterior beam, plywood, one use\n(0040) 12-inch width\n(0050) 24-inch width",SF of contact\nsurface,0.113\n0.102\n0.096\n0.085\n0.080,0.147\n0.133\n0.126\n0.111\n0.104,0.023\n0.020\n0.019\n0.017\n0.016,0.283\n0.255\n0.241\n0.213\n0.200
"03 11 13.25\nColumns, Forms in Place\nRound fiber tube, recycled paper, one use\n(0010) 8-inch diameter\n(0020) 10-inch diameter\n(0030) 12-inch diameter\n(0040) 14-inch diameter\n(0050) 16-inch diameter\nPlywood (job-built), one use\n(0060) 8 by 8 inches\n(0070) 12 by 12 inches\n(0080) 16 by 16 inches\n(0090) 24 by 24 inches",LF\nLF\nLF\nLF\nLF\nSF of contact\nsurface,*\n*\n*\n*\n*\n0.092\n0.085\n0.083\n0.080,0.274\n0.274\n0.283\n0.294\n0.304\n0.150\n0.137\n0.133\n0.130,*\n*\n*\n*\n*\n0.016\n0.015\n0.014\n0.013,0.274\n0.274\n0.283\n0.294\n0.304\n0.258\n0.237\n0.230\n0.223
"03 11 13.30 Culvert, Forms in Place\n(0010) 5 to 8 foot square or rectangular",SF of contact\nsurface,*,*,*,0.250
"03 11 13.35\nElevated Slabs (Overhead)\n(0010) Flat plate, job-built, to 15 feet high\n(0020) Box out for slab openings\n(0030) Bulkhead forms for slab\n(0040) Slab bulkhead form, 4 1/2 inches high\n(0050) Curb forms, wood, 6 to 12 inches high\n(0060) Edge forms to 6 inches high\n(0070) Perimeter deck and rail",SF\nSF of contact\nsurface\nLF\nLF\nSF of contact\nsurface\nLF\nLF,0.049\n0.107\n0.041\n0.011\n0.076\n0.027\n0.151,0.087\n0.192\n0.072\n0.021\n0.135\n0.049\n0.270,0.020\n0.037\n0.014\n0.004\n0.026\n0.009\n0.052,0.156\n0.336\n0.127\n0.036\n0.237\n0.085\n0.473
"03 11 13.45\nFootings, Forms in Place\n(0010) Continuous wall, plywood, one use\n(0020) Dowel supports for footings or beams\n(0030) Keyway, tapered wood 2 by 4 inches\n(0040) Pile cap, square or rectangular, job\nbuilt plywood, one use\n(0050) Spread footing, job-built lumber\nSupport for dowels, plinths, or templates\n(0060) 2 by 2 feet, footing\n(0070) 4 by 4 feet, footing\n(0080) Plinths, job-built plywood",SF of contact\nsurface\nLF\nLF\nSF of contact\nsurface\nSF of contact\nsurface\nEach\nEach\nSF of contact\nsurface,0.046\n*\n*\n*\n0.057\n*\n*\n*,0.046\n*\n*\n*\n0.057\n*\n*\n*,0.021\n*\n*\n*\n0.026\n*\n*\n*,0.113\n0.085\n0.020\n0.146\n0.140\n1.702\n1.935\n0.170
"03 11 13.50\nGrade beam, Forms in Place\n(0010) Job-built plywood, one use",SF of contact\nsurface,0.034,0.072,0.016,0.122
"03 11 13.65\nSlab on grade, Forms in Place\n(0010) Bulkhead forms with keyway, wood,\n6 inches high, one use\n(0020) Curb forms, wood 6 to 12 inches high,\non grade, one use\n(0030) Edge forms, wood, on grade to\n6 inches high\n(0040) 7 to 12 inches high\n(0050) for depressed slabs, to 12 inches high\n(0060) from 12 to 24 inches high",LF\nSF of\ncontact\nsurface\nLF\nSF of\ncontact\nsurface\nLF\nLF,0.025\n0.263\n0.021\n0.029\n0.043\n0.073,0.051\n0.119\n0.043\n0.059\n0.085\n0.146,0.008\n0.020\n0.007\n0.010\n0.014\n0.024,0.084\n0.402\n0.071\n0.098\n0.142\n0.243
"03 11 23.75 (0010)\nStairs, Forms in Place",SF,------------------------0.55 Complete-------------------,,,
"03 11 13.85\nWalls, Forms in Place\n(0010) Wall, job-built plywood, to 8 feet\n(0020) Wall, over 8 to 16 feet high",SF of contact\nsurface,0.066\n0.086,0.087\n0.114,0.021\n0.027,0.173\n0.227
"Minimum suggested crew size:\nForming/stripping—five laborers. Forming/stripping (gang forms)—five laborers, two equipment operators.",,,,,
"Notes:\n1. The following notes are to be used for estimating labor to fabricate and erect forms. Refer to\nTM 3-34.44/FM 5-428/MCRP 3-40D.4 for information on concrete form design and materiel estimating\nprocedures.\n2. Concrete forming estimates are based on using form accessories, form ties, and steel column clamps.\n3. Suspended slabs, beams, and girders are figures using 4- by 4-inch shores and wooden wedges. For\nadjustable shores, use a 0.9 multiplier.\n4. Forming walls over 10 feet high and other high work will increase erection time. To compensate, use\na 1.1–1.5 multiplier depending on job complexity.",,,,,
