figure,Figure 5-F-8
figureTitle,Wood Framing Production .................................................................................................... 5-F-5
division,06
divisionName,"Wood, Plastics, and Composites"
sourcePage,5-F-8

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
06 10 53.00 Rough Carpentry\n(0010) Miscellaneous Rough Carpentry,LF,0.053
"06 11 10.02\nBlocking\nMiscellaneous, to wood construction (0010) 2 by 4 inches\n(0020) Pneumatic nailed\n(0021) 2 by 6 inches\n(0022) Pneumatic nailed\n(0030) 2 by 8 inches\n(0040) Pneumatic nailed\nTo steel construction\n(0050) 2 by 4 inches\n(0060) 2 by 8 inches",BF\nBF\nBF\nBF\nBF\nBF\nBF\nBF,0.062\n0.051\n0.041\n0.038\n0.038\n0.032\n0.076\n0.051
"06 11 10.04\nWood Bracing\n(0010) Let-in, with 1- by 6-inch boards, studs 16 inches on center studs\n(0020) 24 inches on center",LF\nLF,0.070\n0.046
"06 11 10.06\nBridging\nWood, for joists 16 inches on center\n(0010) 1 by 3 inches\n(0020) Pneumatic nailed\n(0030) 2- by 3-inch bridging\n(0040) Pneumatic nailed\nSteel, galvanized, 18 gauge,\n(0050) for 2- by 10-inch joists at 12 inches on center\n(0060) for 2- by 10-inch joists at 24 inches on center\n(0070) for 2- by 14-inch joists at 16 inches on center\n(0080) for 2- by 14-inch joists at 24 inches on center",Pair\nPair\nPair\nPair\nPair\nPair\nPair\nPair,0.082\n0.062\n0.083\n0.062\n0.082\n0.076\n0.082\n0.076
"06 11 10.10\nBeam and Girder Framing\n(0010) Single, 2 by 6 inches\n(0020) Single, 2 by 6 inches pneumatic nailed\n(0030) Single, 2 by 8 inches\n(0040) Single, pneumatic nailed\n(0050) Single, 2 by 10 inches\n(0060) Single, 2 by 10 inches pneumatic nailed\n(0070) 3 inches by 8- to 14-inch average\n(0080) 4 inches by 8- to 14-inch average\n(0090) Double, 2 by 6 inches\n(0100) Double, 2 by 6 inches pneumatic nailed\n(0110) Double, 2 by 8 inches\n(0120) Double, 2 by 8 inches pneumatic nailed\n(0130) Double, 2 by 10 inches\n(0140) Double, 2 by 10 inches pneumatic nailed\n(0150) Triple, 2 by 6 inches\n(0160) Triple, 2 by 6 inches pneumatic nailed\n(0170) Triple, 2 by 8 inches\n(0180) Triple, 2 by 8 inches pneumatic nailed\n(0190) Triple, 2 by 10 inches\n(0200) Triple, 2 by 10 inches pneumatic nailed",BF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF,0.0310\n0.0270\n0.0240\n0.0210\n0.0210\n0.0180\n0.0170\n0.0160\n0.0170\n0.0150\n0.0130\n0.0120\n0.0110\n0.0090\n0.0120\n0.0110\n0.0090\n0.0080\n0.0080\n0.0070
"06 11 10.12\nCeiling Framing\n(0010) Suspended, 2 by 3 inches\n(0020) Suspended, 2 by 4 inches\n(0030) Suspended, 2 by 6 inches\n(0040) Suspended, 2 by 8 inches",BF\nBF\nBF\nBF,0.0430\n0.0360\n0.0270\n0.0240
06 11 10.14\nPosts and Columns\n(0010) 4 by 4 inches\n(0020) 4 by 6 inches\n(0030) 6 by 6 inches\n(0040) 6 by 10 inches,BF\nBF\nBF\nBF,0.0410\n0.0380\n0.0330\n0.0270
"06 11 10.18\nJoist Framing\n(0010) Joists, 2 by 4 inches\n(0020) 2 by 4 inches, pneumatic nailed\n(0030) 2 by 6 inches\n(0040) 2 by 6 inches pneumatic nailed\n(0050) 2 by 8 inches\n(0060) 2 by 8 inches pneumatic nailed\n(0070) 2 by 10 inches\n(0080) 2 by 10 inches pneumatic nailed\n(0090) 2 by 12- to 14-inch average\n(0100) 2 by 12- to 14-inch average pneumatic nailed\n(0110) 3 by 6 inches\n(0120) 3 by 8- to 12-inch average\n(0130) 4 by 6 inches\n(0140) 4 by 8 inches\n(0150) 4 inches by 10- to 12-inch average",BF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF,0.0250\n0.0230\n0.0170\n0.0150\n0.0150\n0.0120\n0.0150\n0.0120\n0.0120\n0.0110\n0.0160\n0.0110\n0.0130\n0.0050\n0.0110
06 11 10.24\nMiscellaneous Framing,,
"(0010) Firestops, 2 by 4 inches\n(0020) 2 by 4 inches pneumatic nailed\n(0030) 2 by 6 inches\n(0040) 2 by 6 inches pneumatic nailed\n(0050) 2 by 8 inches\n(0060) 2 by 12 inches\n(0070) Nailers, treated, wood construction, 2 by 4 inches\n(0080) 2 by 4 inches pneumatic nailed\n(0090) 2 by 6 inches\n(0100) 2 by 6 inches pneumatic nailed\n(0110) 2 by 8 inches\n(0120) 2 by 8 inches pneumatic nailed\n(0130) Nailers, steel construction 2 by 4 inches\n(0140) 2 by 6 inches\n(0150) 2 by 8 inches\n(0160) Rough bucks, treated, for doors or windows 2 by 6 inches\n(0170) 2 by 6 inches pneumatic nailed\n(0180) 2 by 8 inches\n(0190) 2 by 8 inches pneumatic nailed\n(0200) Stair stringers, 2 by 10 inches\n(0210) 2 by 12 inches\n(0220) 3 by 10 inches\n(0230) 3 by 12 inches",BF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF,0.0410\n0.0330\n0.0360\n0.0270\n0.0360\n0.0310\n0.0400\n0.0330\n0.0270\n0.0240\n0.0240\n0.0190\n0.0430\n0.0310\n0.0240\n0.0530\n0.0440\n0.0410\n0.0330\n0.0970\n0.0810\n0.0690\n0.0560
06 11 10.26\nPartitions,,
"Single bottom and double top plate,\n(0010) 2- by 4-inch studs, 8 feet high studs 16 inches on center\n(0020) Pneumatic nailed\n(0030) studs 24 inches on center\n(0040) Pneumatic nailed\n(0050) 2- by 4-inch studs, 12 feet high studs 16 inches on center\n(0060) Pneumatic nailed\n(0070) studs 24 inches on center\n(0080) Pneumatic nailed\n(0090) 2- by 6-inch studs, 8 feet high, studs 16 inches on center\n(0100) Pneumatic nailed\n(0110) studs 24 inches on center\n(0120) Pneumatic nailed",LF\nLF\nLF\nLF\nLF\nLF\nLF\nLF\nLF\nLF\nLF\nLF,0.2130\n0.1770\n0.1700\n0.1420\n0.2660\n0.2220\n0.2130\n0.1770\n0.2370\n0.2000\n0.1850\n0.1540
"06 11 10.30\nRoof Framing\n(0009) Fascia boards, 2 by 4 inches or 2 by 6 inches\n(0010) 2 by 8 inches or 2 by 10 inches\n(0020) Rafters, to 4 in 12 pitch, 2 by 6 inches\n(0030) 2 by 8 inches\n(0040) Hip and valley rafters, 2 by 6 inches\n(0050) 2 by 8 inches\n(0060) Hip and valley jacks, 2 by 6 inches\n(0070) 2 by 8 inches\n(0080) Rafter tie\nRidge board,\n(0090) 1 by 6 inches\n(0100) 1 by 10 inches\n(0110) 2 by 6 inches\n(0120) 2 by 8 inches\n(0130) 2 by 10 inches\nFor slopes steeper than 4 in 12, multiply by 1.30.\nFor dormers or complex roofs, multiply by 1.50.",BF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF\nBF,0.0700\n0.0700\n0.0210\n0.0160\n0.0270\n0.0230\n0.0360\n0.0330\n0.0780\n0.0700\n0.0510\n0.0420\n0.0360\n0.0330
06 11 10.32\nSill and Ledger Framing,,
