figure,Figure 5-J-17
figureTitle,Exterior Painting Production ................................................................................................5-J-12
division,09
divisionName,Finishes
sourcePage,5-J-17
sourcePdfPage,13

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"09 72 23.10\nWallpaper\n(0010) Average workmanship, solid pattern\n(0020) Basic patterns, matching required",SF\nSF,0.0170\n0.0200
Minimum suggested crew size: one skilled paper hanger and one unskilled laborer.,,
"09 77 33.10\nFiberglass Reinforced Plastic Panels\n(0010) On walls, 0.090 inch thick, adhesive mounted\n(0020) On walls, 0.090 inch thick, nylon rivet mounted, on drywall\n(0030) On walls, 0.090 inch thick, nylon rivet mounted, on masonry\n(0040) On walls, 0.090 inch thick, nylon rivet and adhesive mounted, on drywall\n(0050) On walls, 0.090 inch thick, nylon rivet and adhesive mounted, on masonry",SF\nSF\nSF\nSF\nSF,0.0330\n0.0440\n0.0670\n0.0890\n0.1120
Minimum suggested crew size: one builder and one laborer.,,
Notes:\n1. The above options provide only a small sample of the myriad of possibilities. They provide a cross\nsection of average labor times required for plaster and gypsum board assemblies.\n2. A multiplier of 1.5 was used to convert civilian production rates to military production rates in this figure.\nNo further adjustment required for military production.\n3. Refer to Division 09 29 10.30 for gypsum board installation.,,
"09 91 03.30\nExterior Surface Preparation\nAverage times for various surfaces, including steel\n(0010) scrape and sand\n(0020) wire brush\n(0030) power tool\n(0040) pressure/power wash (2,800 to 6,000 SF per day)\n(0050) steam cleaning (2,800 to 4,000 SF per day)\n(0060) water blasting\n(0070) masking with paper\n(0080) volume cover up (drop cloths or plastic sheathing)",SF\nSF\nSF\nSF\nSF\nSF\nSF\nSF,0.0330\n0.0150\n0.0150\n0.0020\n0.0050\n0.0040\n0.0130\n0.0020
"09 91 13.30\nFences\nChain link or wire metal, picket, and stockade; one side, water base\n(0010) roll and brush, first coat\n(0020) second coat\n(0030) spray, first coat\n(0040) second coat",SF\nSF\nSF\nSF,0.0120\n0.0120\n0.0050\n0.0040
"09 91 13.42\nMiscellaneous, Exterior\n(0010) Decking, wood, sealer or paint, brushwork, each coat\n(0020) Railings, wood, 42 inches high, 2- by 2-inch verticals, 6 inches on\ncenter brushwork, stain, sand, seal, and varnish\n(0030) Railings, wrought iron, 60 inches high, 1-inch rail, 1/2-inch-square\nverticals, 6 inches on center, brushwork, zinc chromate, each coat\n(0040) Shutters or blinds, single panel, 2 by 4 feet, paint all sides, brushwork,\neach coat\n(0050) Shutters or blinds, single panel, 2 by 4 feet, paint all sides, spray, each\ncoat\n(0060) Stair stringers, metal, roll and brush, zinc chromate, each coat\n(0070) Stair stringers, wood, roll and brush, each coat",SF\nLF\nLF\nEach\nEach\nLF\nLF,0.0090\n0.1180\n0.0820\n0.5320\n0.3050\n0.0330\n0.0490
"09 91 13.60\nSiding, Exterior\n(0010) Steel siding, oil based paint, brushwork, each coat\n(0020) Steel siding, oil based paint, spray, each coat\n(0030) Stucco, rough, oil based paint, brushwork, each coat\n(0040) Stucco, rough, oil based paint, brushwork, roll, each coat\n(0050) Stucco, rough, oil based paint, brushwork, spray, each coat\n(0060) Texture 1-11, clapboard, or wood shingles, brushwork, each coat\n(0070) Texture 1-11, clapboard, or wood shingles, spray, each coat",SF\nSF\nSF\nSF\nSF\nSF\nSF,0.0120\n0.0050\n0.0160\n0.0130\n0.0050\n0.0160\n0.0050
"09 91 13.62\nSiding, Miscellaneous\n(0010) Aluminum siding, latex paint, brushwork, each coat\n(0020) Mineral fiber shingles, brushwork, each coat\n(0030) Mineral fiber shingles, roll, each coat\n(0040) Mineral fiber shingles, spray, each coat\n(0050) Rough wood, including shingles or shakes, brushwork, each coat\n(0060) Rough wood, including shingles or shakes, roll, each coat\n(0070) Rough wood, including shingles or shakes, spray, each coat\n(0080) Smooth wood, including butt, tongue and groove, brushwork, each coat\n(0090) Smooth wood, including butt, tongue and groove, roll, each coat\n(0100) Smooth wood, including butt, tongue and groove, spray, each coat",SF\nSF\nSF\nSF\nSF\nSF\nSF\nSF\nSF\nSF,0.0090\n0.0150\n0.0130\n0.0050\n0.0170\n0.0070\n0.0050\n0.0090\n0.0090\n0.0050
