figure,Figure 5-L-3
figureTitle,Framed Fabric Structure Production ..................................................................................... 5-L-2
division,13
divisionName,Special Construction
sourcePage,5-L-3
sourcePdfPage,14

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
"13 31 23.50\nTension Fabric Structures\nFabric shell, 60-foot-clear span, not including foundation or floors\n(0010) 6,000 SF\n(0020) 12,000 SF\nFabric shell, 80-foot-clear span, not including foundation or floors\n(0030) 20,800 SF",SF Floor\nSF Floor\nSF Floor,0.0880\n0.0800\n0.0720
"Minimum suggested crew size:\nStructure installation: one steelworker (crew leader), four laborers, two equipment operators.",,
Roll-up door (minimum)\n(0040) 12 by 14 feet,Each,20.0000
Minimum suggested crew size: Roll-up door: two builders.,,
"Notes:\n1. These estimates are for frame and shell only.\n2. Duckbill anchors furnished with basic tension fabric structures are for unpaved surfaces only.\n3. For asphalt and concrete surfaces, use expansion-type anchors.\n4. Refer to other divisions for estimates on footings, utilities, and other components of work.\n5. Refer to manufacturers’ specifications and installation instructions.",,
"13 31 33.00\nFramed Fabric Structures\n(0010) MGPTS, Small, 18 by 18 feet, erect and strike\n(0020) MGPTS, Medium, 18 by 36 feet, erect and strike\n(0030) MGPTS, Large, 18 by 54 feet, erect\n(0035) MGPTS, Large, 18 by 54 feet, strike\n(0100) TEMPER, Small, 20 by 16 feet, erect\n(0110) TEMPER, Medium, 20 by 32 feet, erect\n(0120) TEMPER, Large, 20 by 48 feet, erect\n(0150) ALASKA, United States Air Force (USAF), Small, 20 by 33 feet,\nerect and strike\n(0160) ALASKA, AMEDD, Small, 20 by 20 feet, erect\n(0170) ALASKA, AMEDD, Medium, 20 by 65 feet, erect\n(0200) Airbeam TEMPER, Medium, 20 by 32 feet, erect\n(0210) Expeditionary Shelter System, USMC, Medium, 18 by 25 feet, erect",Each\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach,1.8000\n2.4000\n4.4700\n3.0000\n1.5000\n3.3300\n4.1000\n2.0000\n4.0000\n4.0000\n1.0000\n0.8000
"Legend: AMEDD = Army Medical Department\nMGPTS = Modular general purpose tent system\nTEMPER = tent, expendable modular personnel",,
"13 31 33.00\nFramed Fabric Structures (Continued)\n(0250) Airbeam TEMPER, medium, 20 by 32 feet, erect, USN\n(0255) Install interior 20 by 32 tent furnishings, F/12 PAX (people), USN\n(0260) Airbeam shelter facility support, USN\n(0300) Lightweight maintenance enclosure, USA, 25 by 32 feet, erect\n(0310) Large area maintenance shelter (LAMS), USA, 75 by 190 feet\n(0320) LAMS, USA, 65 by 122 feet, erect\n(0400) Medium shelter, command post, USAF, 30 by 33 feet, erect\n(0410) Medium shelter, maintenance, USAF, 30 by 52 feet, erect\n(0420) Dome shelter, USAF, 70 by 121 feet, 2 big mouth ends, erect\n(0430) Dome shelter, USAF, 70 by 116 feet, 2 gable ends, erect\n(0440) Dome shelter, USAF, 70 by 89 feet, 1 gable end, 1 big mouth end, erect\n(0450) Dome shelter, USAF, 70 by 135 feet, 2 big mouth ends, erect\n(0460) LAMS, USA, 65 by 185 feet, Erect\n(0490) Dome shelter, USAF, strike and repack\n(0510) Erect BaseX 305 tent, USN, 18 x 25 feet with ECU\n(0515) Install interior 18 x 25 tent furnishings, USN\n(0520) Erect BaseX dome tent, USN, 31 x 37 feet with ECU\n(0525) Install interior dome tent furnishings, USN\n(0530) Erect BaseX 307 tent, USN, 18 x 35 feet with ECU\n(0535) Install interior 18 x 35 tent furnishings\n(0540) Erect BaseX 103 tent, USN, 9-1/2 x 15 feet with ECU\n(0545) Install interior 9-1/2 x 15 tent furnishings\n(0600) ASC, Type I, 35 by 35 feet, erect\n(0610) ASC, Type II, 50 by 50 feet, erect\n(0700) Camouflage net system, radar scattering, one system, complete, erect\nand strike\n(0710) Camouflage net system, radar scattering, two systems, complete, erect\nand strike\n(0720) Camouflage net system, radar scattering, three systems, complete,\nerect and strike\n(0730) Camouflage net system, radar scattering, four systems, complete, erect\nand strike",Each\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach\nEach,1.0000\n2.0000\n3.0000\n6.0000\n432.0000\n288.0000\n12.0000\n24.0000\n256.0000\n256.0000\n256.0000\n256.0000\n384.0000\n208.0000\n8.0000\n8.0000\n20.0000\n20.0000\n8.0000\n8.0000\n8.0000\n8.0000\n1.0000\n2.0000\n1.5000\n2.5000\n3.5000\n4.5000
Minimum suggested crew size varies in accordance with the facility being erected.,,
Legend: ASC = advanced solar cover\nECU = environmental control unit,,
