figure,Figure 5-N-1
figureTitle,General Duty Valves Installation Production ...................................................................... 5-N-2
division,22
divisionName,Plumbing
sourcePage,5-N-1
sourcePdfPage,14

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
,,Pipe Diameter in Inches,,,,,,,
,,1/8–1/2,3/4,1,1 1/4,1 1/2,2,2 1/2,3
"22 05 23.10\nValves, Brass\nGas cocks, threaded",Each,(0010)\n0.4430,(0020)\n0.4840,(0030)\n0.5600,(0040)\n0.7090,,,,
"22 05 23.20\nValves, Bronze\nAverage time for the following\nvalves:\nAngle\nBall\nCheck, swing\nGate\nGlobe\nRelief, pressure and temperature\nReducing",Each\nEach\nEach,(0010)\n0.4430\n(0150)\n0.4430,(0020)\n0.5320\n(0090)\n0.3800\n(0160)\n0.5320,(0030)\n0.5600\n(0100)\n0.4430\n(0170)\n0.5600,(0040)\n0.7090\n(0110)\n0.5320\n(0180)\n0.7090,(0050)\n0.8180\n(0120)\n0.5900\n(0190)\n0.8180,(0060)\n0.9670\n(0130)\n0.6650,(0070)\n1.4200\n(0140)\n0.7090,(0080)\n1.6370
Mixing,Each,(0200)\n1.3300,,,,,,,
22 05 23.60,,,,,,,,,
"Valves, Plastic\nAverage time for the following\nvalves:\nAngle, PVC,\nBall, PVC or chlorinated polyvinyl\nchloride (plastic) (CPVC),",Each\nEach,(0010)\n0.4100\n(0040)\n0.4100,(0020)\n0.4260\n(0050)\n0.4260,(0030)\n0.4630\n(0060)\n0.4630,(0070)\n0.5070,(0080)\n0.5320,(0090)\n0.6260,,
"for PVC or CPVC, flanged, multiply by 1.15",,,,,,,,,
"Foot valve, PVC\nY sediment strainer, PVC",Each\nEach,(0100)\n0.3130\n(0150)\n0.4100,(0110)\n0.3320\n(0160)\n0.4430,(0120)\n0.3800\n(0170)\n0.4630,(0130)\n0.3940\n(0180)\n0.5070,(0140)\n0.4100\n(0190)\n0.5320,,,
Minimum suggested crew size: one utilitiesman and one laborer.,,,,,,,,,
"Notes:\n1. The installation of valves and fittings includes unloading, placing, caulking and leading, welding, and bolting\nflanges. It also includes installing gaskets, packing, hand wheels, and trim.\n2. PVC solvent will not work with CPVC piping. Each materiel must have its own solvent cement.\n3. Types of plastic pipe:\na. PVC. Used with water, gas, and drainage systems, but not with hot water systems\nb. CPVC. Similar to PVC, but designed for piping water up to 180 degrees Fahrenheit.",,,,,,,,,
