figure,Figure 5-N-4
figureTitle,Threaded Steel Pipe and Fittings Production ....................................................................... 5-N-4
division,22
divisionName,Plumbing
sourcePage,5-N-4
sourcePdfPage,14

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
,,Pipe Diameter in Inches,,,,,,,,,,
,,up to 1,1 1/4,1 1/2,2,2 1/2,3,3 1/2,4,5,6,8
22 11 13.23\nCopper Pipe,,,,,,,,,,,,
Type K tubing,LF,(0010)\n0.1610,(0020)\n0.2660,,,,,,,,,
Type L tubing,LF,(0030)\n0.1570,(0040)\n0.1840,(0050)\n0.2050,(0060)\n0.2530,(0070)\n0.3430,(0080)\n0.3800,(0090)\n0.4950,(0100)\n0.5450,(0110)\n0.6260,(0120)\n0.7980,(0130)\n0.8870
"Type drain,\nwaste, and vent\n(DWV) tubing",LF,,(0140)\n0.1770,(0150)\n0.1970,(0160)\n0.2420,,(0170)\n0.3670,,(0180)\n0.5320,(0190)\n0.5900,(0200)\n0.7590,
Minimum suggested crew size: one utilitiesman and one laborer.,,,,,,,,,,,,
"Notes:\n1. Used for facility water distribution piping.\n2. Use a 1.15 multiplier for silver solder joints (air conditioning and refrigeration only).\n3. The installation of copper pipe includes cutting; cleaning and soldering joints; plumbing and grading pipe; and\ninstalling pipe hangers and straps.\n4. Types of copper pipe:\na. K—A thick-walled, flexible copper tubing. A thicker wall than type L and M. required for underground\ninstallations. Typical uses include water services, plumbing, heating, steam, gas, oil, oxygen, and other\napplications where thick-walled tubing is required. Can be used with sweat, flared, and compression fittings.\nb. L—Standard tubing used for interior, above ground plumbing. Uses include heating, air conditioning, steam,\ngas, oil, and underground drainage lines. Only sweat and flare fittings are legal for gas lines.\n5. DWV. It is recommended for above ground use only and no pressure applications. Sweat fittings only.",,,,,,,,,,,,
,,Pipe Diameter in Inches,,,,,,,,
,,to 3/4,1,1 1/4,1 1/2,2,2 1/2,3,3 1/2,4
"22 11 13.44\nSteel Pipe, Threaded\nSchedule 40,\nwith couplings, and clevis\nhanger assemblies sized\nfor covering 10 feet on\ncenter",LF,(0010)\n0.1740,(0020)\n0.2010,(0030)\n0.2390,(0040)\n0.2660,(0050)\n0.3320,(0060)\n0.4260,(0070)\n0.4950,(0080)\n0.5320,(0090)\n0.5900
Minimum suggested crew size: one utilitiesman and one laborer.,,,,,,,,,,
"Notes:\n1. Used for facility water distribution piping.\n2. The installation of galvanized-steel pipe vents and drains includes cutting and threading pipe, making joints and\napplying joint compound, plumbing and grading pipe, installing pipe hangers and straps, and installing fittings.",,,,,,,,,,
