figure,Figure 5-R-19
figureTitle,Backfill Production ............................................................................................................ 5-R-11
division,31
divisionName,Earthwork
sourcePage,5-R-19
sourcePdfPage,15

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
31 23 23.13\nBackfill,,
"(0010) Backfill by hand, light soil, no compaction",CYD\nCYD,0.5710\n0.8060
"(0020) Backfill by hand, 12 inch lifts w/hand tamp compaction,\nlight soil",,
