figure,Figure 5-X-1
figureTitle,Water Treatment Equipment Production ............................................................................. 5-X-1
division,46
divisionName,Water Treatment Equipment
sourcePage,5-X-1
sourcePdfPage,16

Work Element Description,Unit,Fabricate,Erect and Strip,Clean and Move,Total Hours
46 07 00.00\nWater Treatment Equipment,,
"(0400) ROWPU, tactical, 3,000 gallons per hour",Each,3.0
"(0410) ROWPU, tactical, 1,500 tactical water purification system",Each,3.0
"(0420) ROWPU, tactical, 125 lightweight water purifier system",Each,4.0
"(0430) ROWPU, tactical, 600 ROWPU",Each,3.0
"(0490) Expeditionary shower water reuse system, ISO Type 5\nTricon",Each,0.750
"(0500) ROWPU, commercial, 45,000 gallons per day",Each,32.0
"Minimum suggested crew size:\nSetup hoist—seven equipment operators, one electrician, one steelworker",,
Legend: ROWPU = reverse osmosis water purification unit,,
46 07 00.00\nWater Treatment Equipment,,
"(0400) ROWPU, tactical, 3,000 gallons per hour",Each,3.0
"(0410) ROWPU, tactical, 1,500 tactical water purification system",Each,3.0
"(0420) ROWPU, tactical, 125 lightweight water purifier system",Each,4.0
"(0430) ROWPU, tactical, 600 ROWPU",Each,3.0
"(0490) Expeditionary shower water reuse system, ISO Type 5\nTricon",Each,0.750
"(0500) ROWPU, commercial, 45,000 gallons per day",Each,32.0
"Minimum suggested crew size:\nSetup hoist—seven equipment operators, one electrician, one steelworker",,
Legend: ROWPU = reverse osmosis water purification unit,,
